# omega DOS_nb9 DOS_nb19 DOS_nb29
-2.000000000000000000e+00 2.583999999999999925e-03 2.327999999999999774e-03 1.959999999999999937e-03
-1.995999999999999996e+00 2.480000000000000000e-03 2.464000000000000044e-03 1.968000000000000131e-03
-1.991999999999999993e+00 2.376000000000000074e-03 2.608000000000000075e-03 1.991999999999999847e-03
-1.987999999999999989e+00 2.288000000000000103e-03 2.712000000000000001e-03 2.024000000000000191e-03
-1.983999999999999986e+00 2.223999999999999849e-03 2.759999999999999867e-03 2.072000000000000057e-03
-1.979999999999999982e+00 2.183999999999999744e-03 2.735999999999999717e-03 2.128000000000000117e-03
-1.975999999999999979e+00 2.160000000000000028e-03 2.648000000000000180e-03 2.207999999999999893e-03
-1.971999999999999975e+00 2.160000000000000028e-03 2.527999999999999865e-03 2.312000000000000253e-03
-1.967999999999999972e+00 2.175999999999999983e-03 2.423999999999999939e-03 2.440000000000000328e-03
-1.963999999999999968e+00 2.207999999999999893e-03 2.335999999999999969e-03 2.591999999999999686e-03
-1.959999999999999964e+00 2.256000000000000193e-03 2.272000000000000148e-03 2.752000000000000106e-03
-1.955999999999999961e+00 2.327999999999999774e-03 2.223999999999999849e-03 2.896000000000000137e-03
-1.951999999999999957e+00 2.423999999999999939e-03 2.199999999999999699e-03 2.983999999999999674e-03
-1.947999999999999954e+00 2.544000000000000254e-03 2.191999999999999938e-03 2.991999999999999868e-03
-1.943999999999999950e+00 2.688000000000000285e-03 2.199999999999999699e-03 2.912000000000000092e-03
-1.939999999999999947e+00 2.847999999999999837e-03 2.223999999999999849e-03 2.792000000000000211e-03
-1.935999999999999943e+00 2.983999999999999674e-03 2.256000000000000193e-03 2.664000000000000135e-03
-1.931999999999999940e+00 3.072000000000000078e-03 2.312000000000000253e-03 2.552000000000000015e-03
-1.927999999999999936e+00 3.072000000000000078e-03 2.383999999999999835e-03 2.464000000000000044e-03
-1.923999999999999932e+00 3.000000000000000062e-03 2.487999999999999760e-03 2.407999999999999984e-03
-1.919999999999999929e+00 2.879999999999999748e-03 2.608000000000000075e-03 2.367999999999999879e-03
-1.915999999999999925e+00 2.759999999999999867e-03 2.768000000000000061e-03 2.351999999999999924e-03
-1.911999999999999922e+00 2.655999999999999941e-03 2.952000000000000197e-03 2.351999999999999924e-03
-1.907999999999999918e+00 2.576000000000000165e-03 3.151999999999999854e-03 2.367999999999999879e-03
-1.903999999999999915e+00 2.527999999999999865e-03 3.327999999999999795e-03 2.407999999999999984e-03
-1.899999999999999911e+00 2.495999999999999955e-03 3.439999999999999915e-03 2.455999999999999850e-03
-1.895999999999999908e+00 2.495999999999999955e-03 3.447999999999999676e-03 2.536000000000000060e-03
-1.891999999999999904e+00 2.511999999999999910e-03 3.359999999999999706e-03 2.631999999999999791e-03
-1.887999999999999901e+00 2.544000000000000254e-03 3.207999999999999914e-03 2.759999999999999867e-03
-1.883999999999999897e+00 2.608000000000000075e-03 3.056000000000000123e-03 2.919999999999999853e-03
-1.879999999999999893e+00 2.688000000000000285e-03 2.919999999999999853e-03 3.119999999999999944e-03
