# omega DOS_nb8 DOS_nb18 DOS_nb28 DOS_nb38 DOS_nb48
-2.000000000000000000e+00 3.057999999999999954e-02 2.379999999999999737e-03 3.273333333333333390e-03 3.993333333333333110e-03 4.246666666666666819e-03
-1.995999999999999996e+00 2.686666666666666717e-02 2.459999999999999947e-03 3.453333333333332995e-03 4.320000000000000055e-03 4.713333333333333264e-03
-1.991999999999999993e+00 2.277333333333333640e-02 2.540000000000000157e-03 3.679999999999999678e-03 4.700000000000000185e-03 5.246666666666666839e-03
-1.987999999999999989e+00 1.899999999999999953e-02 2.613333333333333394e-03 3.959999999999999978e-03 5.173333333333333603e-03 5.859999999999999758e-03
-1.983999999999999986e+00 1.581333333333333549e-02 2.666666666666666578e-03 4.313333333333333082e-03 5.760000000000000363e-03 6.553333333333333753e-03
-1.979999999999999982e+00 1.324000000000000003e-02 2.720000000000000195e-03 4.753333333333333369e-03 6.473333333333333543e-03 7.340000000000000170e-03
-1.975999999999999979e+00 1.119999999999999989e-02 2.773333333333332946e-03 5.293333333333333050e-03 7.286666666666666986e-03 8.146666666666666640e-03
-1.971999999999999975e+00 9.586666666666666947e-03 2.840000000000000076e-03 5.966666666666666126e-03 8.113333333333333508e-03 8.839999999999998900e-03
-1.967999999999999972e+00 8.313333333333334033e-03 2.933333333333333365e-03 6.793333333333332648e-03 8.833333333333333662e-03 9.246666666666666923e-03
-1.963999999999999968e+00 7.293333333333333092e-03 3.039999999999999734e-03 7.766666666666667378e-03 9.333333333333334106e-03 9.300000000000000974e-03
-1.959999999999999964e+00 6.473333333333333543e-03 3.186666666666667074e-03 8.833333333333333662e-03 9.560000000000000789e-03 9.060000000000000345e-03
-1.955999999999999961e+00 5.806666666666667441e-03 3.353333333333333166e-03 9.820000000000000603e-03 9.473333333333333606e-03 8.653333333333334057e-03
-1.951999999999999957e+00 5.259999999999999919e-03 3.560000000000000230e-03 1.049333333333333368e-02 9.126666666666666608e-03 8.179999999999999771e-03
-1.947999999999999954e+00 4.813333333333333526e-03 3.799999999999999992e-03 1.066000000000000107e-02 8.646666666666667084e-03 7.713333333333333326e-03
-1.943999999999999950e+00 4.433333333333333397e-03 4.100000000000000346e-03 1.034666666666666721e-02 8.173333333333332798e-03 7.313333333333334012e-03
-1.939999999999999947e+00 4.119999999999999531e-03 4.459999999999999555e-03 9.719999999999999474e-03 7.793333333333333536e-03 7.053333333333334197e-03
-1.935999999999999943e+00 3.853333333333333610e-03 4.913333333333332921e-03 8.999999999999999320e-03 7.519999999999999775e-03 6.953333333333333068e-03
