# omega DOS_nb8 DOS_nb18 DOS_nb28
-2.000000000000000000e+00 3.055200000000000277e-02 3.751999999999999693e-03 1.723999999999999838e-02
-1.995999999999999996e+00 2.626399999999999915e-02 3.951999999999999784e-03 1.502400000000000090e-02
-1.991999999999999993e+00 2.220799999999999857e-02 4.207999999999999935e-03 1.332000000000000198e-02
-1.987999999999999989e+00 1.869599999999999734e-02 4.527999999999999907e-03 1.211200000000000124e-02
-1.983999999999999986e+00 1.581600000000000020e-02 4.911999999999999700e-03 1.135199999999999924e-02
-1.979999999999999982e+00 1.351999999999999903e-02 5.343999999999999792e-03 1.100800000000000042e-02
-1.975999999999999979e+00 1.170400000000000086e-02 5.752000000000000168e-03 1.103999999999999947e-02
-1.971999999999999975e+00 1.028000000000000094e-02 6.072000000000000140e-03 1.140799999999999974e-02
-1.967999999999999972e+00 9.167999999999999067e-03 6.248000000000000081e-03 1.200800000000000131e-02
-1.963999999999999968e+00 8.296000000000001290e-03 6.296000000000000381e-03 1.268000000000000030e-02
-1.959999999999999964e+00 7.631999999999999895e-03 6.303999999999999708e-03 1.310399999999999933e-02
-1.955999999999999961e+00 7.127999999999999788e-03 6.383999999999999050e-03 1.300800000000000047e-02
-1.951999999999999957e+00 6.768000000000000578e-03 6.592000000000000637e-03 1.229599999999999964e-02
-1.947999999999999954e+00 6.543999999999999470e-03 6.983999999999999757e-03 1.115199999999999872e-02
-1.943999999999999950e+00 6.424000000000000890e-03 7.568000000000000074e-03 9.872000000000000566e-03
-1.939999999999999947e+00 6.392000000000000112e-03 8.335999999999999660e-03 8.672000000000000888e-03
-1.935999999999999943e+00 6.392000000000000112e-03 9.216000000000000233e-03 7.648000000000000284e-03
-1.931999999999999940e+00 6.351999999999999140e-03 1.004799999999999964e-02 6.807999999999999816e-03
-1.927999999999999936e+00 6.192000000000000455e-03 1.058399999999999966e-02 6.144000000000000156e-03
-1.923999999999999932e+00 5.896000000000000199e-03 1.060799999999999937e-02 5.623999999999999659e-03
-1.919999999999999929e+00 5.504000000000000212e-03 1.014400000000000024e-02 5.216000000000000150e-03
-1.915999999999999925e+00 5.104000000000000030e-03 9.392000000000001042e-03 4.887999999999999984e-03
-1.911999999999999922e+00 4.728000000000000431e-03 8.608000000000001067e-03 4.640000000000000027e-03
-1.907999999999999918e+00 4.408000000000000460e-03 7.951999999999999000e-03 4.440000000000000370e-03
-1.903999999999999915e+00 4.135999999999999920e-03 7.503999999999999386e-03 4.288000000000000145e-03
